VendorID;lpep_pickup_datetime;Lpep_dropoff_datetime;Store_and_fwd_flag;RateCodeID;Pickup_longitude;Pickup_latitude;Dropoff_longitude;Dropoff_latitude;Passenger_count;Trip_distance;Fare_amount;Extra;MTA_tax;Tip_amount;Tolls_amount;Ehail_fee;improvement_surcharge;Total_amount;Payment_type;Trip_type ;Column1;_1
2;1/01/2015 00:34;1/01/2015 00:38;N;1;-73.92259216;40.75452805;-73.91363525;40.765522;1;0.88;5;0.5;0.5;0;0;;0.3;6.3;2;1;;
2;1/01/2015 00:34;1/01/2015 00:47;N;1;-73.95275116;40.67771149;-73.98152924;40.65897751;1;3.08;12;0.5;0.5;0;0;;0.3;13.3;2;1;;
1;1/01/2015 00:34;1/01/2015 00:38;N;1;-73.84300995;40.71905518;-73.84658051;40.71156693;1;0.9;5;0.5;0.5;1.8;0;;0;7.8;1;1;;
2;1/01/2015 00:34;1/01/2015 00:38;N;1;-73.86082458;40.75779343;-73.85404205;40.74982071;1;0.85;5;0.5;0.5;0;0;;0.3;6.3;2;1;;
2;1/01/2015 00:34;1/01/2015 01:09;N;1;-73.9451828;40.78332138;-73.98962402;40.76544952;1;4.91;24.5;0.5;0.5;0;0;;0.3;25.8;2;1;;
1;1/01/2015 00:34;1/01/2015 00:40;N;1;-73.96681213;40.7146759;-73.94940948;40.71843719;4;1.2;6.5;0.5;0.5;0;0;;0.3;7.8;2;1;;
1;1/01/2015 00:34;1/01/2015 00:53;N;1;-73.93048859;40.85013199;-73.97805786;40.78905869;1;6.6;22;0.5;0.5;0;0;;0.3;23.3;2;1;;
2;1/01/2015 00:35;1/01/2015 00:35;N;5;-73.86389923;40.89543915;-73.86187744;40.89477921;1;0.13;15;0;0;0;0;;0;15;1;2;;
2;1/01/2015 00:35;1/01/2015 00:41;N;1;-73.91712952;40.76488876;-73.92797852;40.76147079;5;1.18;6.5;0.5;0.5;1.4;0;;0.3;9.2;1;1;;
2;1/01/2015 00:35;1/01/2015 00:42;N;1;-73.92140198;40.76666641;-73.90647888;40.77872849;2;1.12;7;0.5;0.5;0;0;;0.3;8.3;2;1;;
2;1/01/2015 00:34;1/01/2015 00:44;N;1;-73.91268921;40.72250748;-73.90919495;40.70513916;1;1.59;8;0.5;0.5;0;0;;0.3;9.3;2;1;;
2;1/01/2015 00:34;1/01/2015 00:56;N;1;-73.91815186;40.69883347;-73.95511627;40.73493195;1;3.89;16.5;0.5;0.5;0;0;;0.3;17.8;2;1;;
2;1/01/2015 00:35;1/01/2015 00:57;N;1;-73.99234009;40.69736099;-73.82136536;40.77962112;1;14.01;39;0.5;0.5;6;0;;0.3;46.3;1;1;;
2;1/01/2015 00:35;1/01/2015 01:00;N;1;-73.95056915;40.79077148;-73.99952698;40.74031448;1;6.74;24;0.5;0.5;6.12;0;;0.3;31.42;1;1;;
1;1/01/2015 00:35;1/01/2015 00:41;N;1;-73.89905548;40.74998856;-73.92428589;40.76154709;2;1.6;7.5;0.5;0.5;0;0;;0.3;8.8;2;1;;
2;1/01/2015 00:35;1/01/2015 00:37;N;1;-73.98152161;40.57663345;-73.97651672;40.57757187;1;0.58;4;0.5;0.5;0;0;;0.3;5.3;2;1;;
2;1/01/2015 00:35;1/01/2015 00:38;N;1;-73.91082764;40.76879501;-73.91428375;40.76475525;1;0.52;4;0.5;0.5;0;0;;0.3;5.3;2;1;;
2;1/01/2015 00:35;1/01/2015 00:39;N;1;-73.94210815;40.75422287;-73.93088531;40.77131653;1;1.46;6;0.5;0.5;0;0;;0.3;7.3;2;1;;
2;1/01/2015 00:35;1/01/2015 00:43;N;1;-73.99159241;40.68507767;-73.98083496;40.6678772;6;2.02;8.5;0.5;0.5;2.7;0;;0.3;12.5;1;1;;
2;1/01/2015 00:35;1/01/2015 00:43;N;1;-73.89078522;40.74649811;-73.88974762;40.76407242;1;2.16;9.5;0.5;0.5;0;0;;0.3;10.8;2;1;;
2;1/01/2015 00:35;1/01/2015 00:42;N;1;-73.87916565;40.75265884;-73.89715576;40.75796127;1;1.32;7.5;0.5;0.5;0;0;;0.3;8.8;2;1;;
2;1/01/2015 00:35;1/01/2015 00:44;N;1;-73.93574524;40.75340652;-73.92440796;40.76154709;2;1.2;7;0.5;0.5;1;0;;0.3;9.3;1;1;;
2;1/01/2015 00:35;1/01/2015 00:52;N;1;-73.90244293;40.86057663;-73.94455719;40.8091507;1;5;17;0.5;0.5;0;0;;0.3;18.3;2;1;;
2;1/01/2015 00:35;1/01/2015 00:52;N;1;-73.93925476;40.81640244;-73.95298767;40.77840805;1;3.86;14.5;0.5;0.5;0;0;;0.3;15.8;2;1;;
2;1/01/2015 00:35;1/01/2015 00:55;N;1;-73.94817352;40.74487686;-74.00498199;40.65032196;1;10.13;29.5;0.5;0.5;0;0;;0.3;30.8;2;1;;
2;1/01/2015 00:35;1/01/2015 00:56;N;1;-73.95187378;40.80460358;-73.99562836;40.76434708;6;4.92;19.5;0.5;0.5;0;0;;0.3;20.8;2;1;;
2;1/01/2015 00:35;1/01/2015 00:58;N;1;-74.00447083;40.65621185;-73.99430847;40.74071121;1;7.76;24.5;0.5;0.5;6.25;0;;0.3;32.05;1;1;;
2;1/01/2015 00:35;1/01/2015 01:13;N;1;-73.93848419;40.84767151;-73.95176697;40.71173096;1;13.94;43;0.5;0.5;0;0;;0.3;44.3;1;1;;
1;1/01/2015 00:35;1/01/2015 00:41;N;1;-73.94924164;40.69542313;-73.96212006;40.71321487;1;1.8;7.5;0.5;0.5;0;0;;0.3;8.8;2;1;;
